Defense,Model,Traces,BER,BERERR,Accuracy,ACCERR,MI,MIERR
NoDef,var_cnn,4500,0.004,0,0.993,0.001,,
cs_buflo,Tik-Tok,100,,,0.126,0.005,,
cs_buflo,Tik-Tok,500,,,0.153,0.005,,
cs_buflo,Tik-Tok,1000,,,,,,
cs_buflo,Tik-Tok,2000,,,0.167,0.002,,
cs_buflo,Tik-Tok,4500,,,0.172,0.001,,
cs_buflo,awf_cnn,100,0.704,0.014,0.112,0.007,2.265,0.046
cs_buflo,awf_cnn,500,0.69,0.006,0.133,0.004,2.364,0.017
cs_buflo,awf_cnn,1000,0.685,0.004,0.14,0.002,2.385,0.004
cs_buflo,awf_cnn,2000,0.682,0.002,0.15,0.003,2.411,0.007
cs_buflo,awf_cnn,4500,0.673,0.001,0.154,0.005,2.459,0.003
cs_buflo,df,60,0.696,0.014,,,2.093,0.053
cs_buflo,df,90,0.686,0.008,0.137,0.016,2.341,0.026
cs_buflo,df,100,0.687,0.007,0.133,0.011,2.352,0.018
cs_buflo,df,500,0.685,0.003,0.148,0.003,2.459,0.012
cs_buflo,df,1000,0.679,0.002,,,2.494,0.016
cs_buflo,df,2000,0.678,0.001,0.164,0.002,2.485,0.003
cs_buflo,df,4500,0.672,0.001,0.17,0.001,2.51,0
cs_buflo,k-FP,4500,,,0.191,0.001,,
cs_buflo,tf,100,0.716,0.011,0.081,0.006,2.324,0.029
cs_buflo,tf,500,0.701,0.007,0.09,0.002,2.319,0.016
cs_buflo,tf,1000,0.699,0.003,0.093,0.002,2.332,0.014
cs_buflo,tf,2000,0.694,0.003,0.094,0.002,2.352,0.008
cs_buflo,tf,4500,0.691,0.002,0.096,0.002,2.376,0.013
cs_buflo,var_cnn,100,0.731,0.009,0.084,0.003,,
cs_buflo,var_cnn,500,0.705,0.004,0.126,0.008,,
cs_buflo,var_cnn,1000,0.732,0.004,0.091,0.008,,
cs_buflo,var_cnn,2000,0.695,0.002,0.139,0.008,,
cs_buflo,var_cnn,4500,0.686,0.001,0.17,0,,
tamaraw,Tik-Tok,100,,,0.024,0.003,,
tamaraw,Tik-Tok,500,,,0.051,0.002,,
tamaraw,Tik-Tok,1000,,,,,,
tamaraw,Tik-Tok,2000,,,0.052,0.001,,
tamaraw,Tik-Tok,4500,,,0.052,0.001,,
tamaraw,awf_cnn,100,0.848,0.011,0.042,0.003,0.925,0.022
tamaraw,awf_cnn,500,0.855,0.005,0.052,0.003,0.273,0.025
tamaraw,awf_cnn,1000,0.854,0.004,0.052,0.002,0,0
tamaraw,awf_cnn,2000,0.853,0.009,0.051,0.001,0,0
tamaraw,awf_cnn,4500,0.863,0.011,0.051,0.001,0,0
tamaraw,df,60,0.841,0.013,,,1.061,0.028
